"id","age","race","sex","mar","ed","prvarrst","curcrim","crime","yrsent","depart","relyr","relmo","expgrp","sexint","paro","higrade","age1st","numarst","numconv","emp1","emp2","emp3","emp4","emp5","emp6","emp7","emp8","emp9","emp10","emp11","emp12","emp13","emp19","frstarrmo","frstarrday","frstarryr","frstcharge","arr2mo","arr2dy","arr2yr","arr3mo","arr3dy","arr3yr","arr4mo","arr4dy","arr4yr","arr5mo","arr5dy","arr5yr","arr6mo","arr6dy","arr6yr","crimper","crimprop","crimoth","numper","numprop","numoth","white","arstdate","reldate","arrstday","arrest","paroled","married","edcomb","fin","male","type","charge","arrstcount","spellnum","length","arrind","begin","end","prevlngth"
7296,19.3,1,1,1,10,NA,1502,1601,5,4,76,5,4,1,1,10,14,5,1,11,11,11,11,11,11,11,11,1,1,11,11,11,11,2,14,77,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6254,5965,289,1,1,0,10,0,1,2,29,1,1,289,1,0,289,NA
7296,19.3,1,1,1,10,NA,1502,1601,5,4,76,5,4,1,1,10,14,5,1,11,11,11,11,11,11,11,11,1,1,11,11,11,11,2,14,77,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6254,5965,289,1,1,0,10,0,1,2,29,1,2,76,0,289,365,289
7299,31.1,1,1,3,NA,1,NA,1701,5,3,76,5,2,1,1,12,24,4,3,1,1,1,1,1,1,1,1,1,1,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,NA,5965,365,0,1,0,12,1,1,0,0,0,1,365,0,0,365,NA
7300,22,2,1,6,11,1,NA,4001,3,9,76,5,2,1,1,11,20,2,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,5965,365,0,NA,1,11,1,1,0,0,0,1,365,0,0,365,NA
7302,21.3,2,1,1,8,1,NA,1901,5,9,76,5,2,1,1,7,13,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,17,76,2299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6104,5965,139,1,NA,0,8,1,1,2,22,1,1,139,1,0,139,NA
7302,21.3,2,1,1,8,1,NA,1901,5,9,76,5,2,1,1,7,13,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,17,76,2299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6104,5965,139,1,NA,0,8,1,1,2,22,1,2,226,0,139,365,139
7305,25.5,2,1,2,10,NA,NA,1802,5,9,76,5,4,1,1,11,21,3,1,33,33,33,33,33,33,33,33,33,33,33,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,5965,365,0,NA,1,10,0,1,0,0,0,1,365,0,0,365,NA
7306,20.6,1,1,1,7,1,43,1701,6,4,76,5,5,1,1,7,14,6,6,1,1,1,1,1,1,1,1,1,11,11,11,11,1,10,13,76,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6130,5965,165,1,1,0,7,0,1,1,13,1,1,165,1,0,165,NA
7306,20.6,1,1,1,7,1,43,1701,6,4,76,5,5,1,1,7,14,6,6,1,1,1,1,1,1,1,1,1,11,11,11,11,1,10,13,76,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6130,5965,165,1,1,0,7,0,1,1,13,1,2,200,0,165,365,165
7307,22.7,1,1,NA,NA,NA,NA,1701,0.5,1,76,5,4,1,0,14,15,5,2,6,1,1,1,1,1,1,1,1,6,11,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,5965,365,0,0,0,14,0,1,0,0,0,1,365,0,0,365,NA
